field,biome,country,pesticide_kg_ha,nearbyorg,pest_abu_ha
organic,tropical,A,1.66,0.49,324.1
organic,tropical,H,1.582,0.27,382.3
organic,tropical,Q,1.333,0.51,349.3
conventional,tropical,D,3.527,0,327.8
organic,boreal,J,0.38,0.28,276.9
conventional,temperate,Q,2.761,0.06,255.9
organic,boreal,Y,1.129,0.37,290.6
conventional,tropical,S,3.38,0.02,364
organic,tropical,P,1.642,0.24,359.3
organic,temperate,Z,1.252,0.37,270.5
conventional,boreal,R,2.234,0.02,196
organic,temperate,O,0.513,0.41,268.6
conventional,boreal,K,1.895,0.03,239.5
conventional,tropical,P,1.961,0.04,371.3
organic,boreal,P,0.973,0.54,220.2
conventional,tropical,L,2.019,0.07,314.7
organic,temperate,Q,0.608,0.38,296.6
conventional,tropical,V,4.517,0.05,312
conventional,temperate,G,5.688,0.03,216.5
organic,tropical,E,2.361,0.59,356.3
conventional,temperate,C,1.387,0,272.2
conventional,temperate,H,1.26,0.01,274
organic,tropical,W,1.434,0.53,372.7
conventional,tropical,I,4.683,0.07,342
organic,boreal,B,0.787,0.42,289.7
organic,tropical,W,1.621,0.36,371.3
conventional,temperate,H,2.508,0.04,209.7
conventional,boreal,Z,0.262,0.08,295.8
conventional,boreal,Z,3.462,0.06,206.1
conventional,temperate,X,3.06,0.02,234.7
organic,boreal,U,0.521,0.48,224.1
conventional,tropical,I,4.042,0.05,316.9
conventional,boreal,Z,1.338,0.1,198.4
conventional,tropical,S,4.038,0,326.1
organic,boreal,T,0.755,0.49,190.1
organic,tropical,Y,2.085,0.44,329.5
conventional,tropical,V,5.28,0,303.2
organic,boreal,I,0.732,0.29,287.6
organic,temperate,A,0.76,0.35,292.8
conventional,tropical,I,5.746,0,302.2
organic,temperate,F,1.19,0.44,270.1
conventional,boreal,C,2.12,0.01,249.9
conventional,boreal,I,1.484,0.02,216.2
conventional,boreal,O,2.332,0.03,197.7
organic,boreal,B,0.455,0.43,242
conventional,tropical,P,3.028,0.01,340.6
conventional,temperate,E,4.304,0.07,253.1
organic,temperate,W,0.561,0.37,304.6
conventional,boreal,T,3.094,0.05,224.6
organic,boreal,B,0.247,0.47,272
organic,temperate,T,0.012,0.39,266.9
organic,temperate,K,0.829,0.45,304.2
conventional,tropical,B,1.848,0,364.4
conventional,boreal,T,1.123,0.1,220.4
organic,temperate,U,0.307,0.49,284.8
organic,boreal,W,0.985,0.41,256.4
organic,tropical,N,1.828,0.36,383
conventional,boreal,J,0.808,0,248.3
organic,boreal,O,1.004,0.33,247.3
organic,tropical,P,1.581,0.29,367.8
organic,tropical,Q,1.421,0.42,383.4
organic,temperate,O,0.216,0.49,256.8
organic,tropical,Q,2.465,0.4,384.3
conventional,boreal,Y,4.688,0.02,186.5
organic,tropical,U,1.333,0.32,392.3
organic,boreal,Q,0.036,0.35,194.8
organic,temperate,Q,0.784,0.38,294.4
organic,tropical,U,1.292,0.37,399.2
organic,temperate,Y,1.048,0.33,285.3
organic,tropical,R,1.013,0.69,358.2
organic,tropical,T,1.622,0.65,353.5
conventional,temperate,M,1.997,0.05,296.1
conventional,temperate,E,2.512,0,258.9
conventional,temperate,W,1.316,0.01,303.4
conventional,boreal,A,0.486,0.01,265.5
conventional,temperate,M,2.292,0.04,234.8
organic,temperate,U,1.039,0.45,267.1
organic,tropical,V,1.326,0.4,356
conventional,tropical,G,4.986,0.01,311
organic,boreal,J,0.44,0.65,226.9
conventional,temperate,W,4.468,0.01,240.2
conventional,tropical,P,5.638,0,277
organic,boreal,T,0.36,0.51,243.6
organic,boreal,R,0.623,0.39,279.9
conventional,boreal,U,2.905,0.02,196.4
conventional,tropical,O,4.58,0,291.6
organic,tropical,L,1.49,0.35,394.3
organic,temperate,B,0.904,0.29,315.1
conventional,temperate,W,4.042,0.08,217.4
conventional,boreal,X,3.013,0.05,213.2
organic,tropical,C,1.024,0.43,386.4
conventional,tropical,S,5.523,0.02,287.9
organic,tropical,R,2.253,0.44,345.7
conventional,boreal,N,2.848,0.04,202.2
organic,tropical,A,1.49,0.5,360.4
organic,tropical,O,2.412,0.42,374.9
organic,temperate,A,0.594,0.41,321.4
organic,tropical,A,2.229,0.33,369.9
conventional,tropical,B,5.19,0.02,298.4
conventional,tropical,Z,2.957,0.01,355.4
conventional,boreal,D,3.276,0.02,221
organic,boreal,L,1.599,0.44,247.5
conventional,tropical,R,5.045,0.01,315.2
organic,boreal,Y,0.646,0.56,245.2
conventional,temperate,K,2.349,0.01,258.5
conventional,boreal,I,1.125,0.02,271
organic,tropical,X,1.292,0.42,369.6
conventional,boreal,R,0.798,0.01,230.3
conventional,tropical,L,3.183,0.02,340.9
organic,tropical,N,2.768,0.42,332.4
organic,boreal,K,0.911,0.26,234.1
organic,temperate,L,0.884,0.44,292.7
conventional,boreal,H,3.644,0.06,214.1
conventional,temperate,V,2.631,0.01,271.4
organic,tropical,F,2.401,0.54,320.8
organic,temperate,A,1.287,0.41,269.1
organic,temperate,C,0.355,0.26,286.3
conventional,tropical,I,3.951,0.03,335.6
conventional,tropical,P,4.431,0,340.3
organic,boreal,Y,0.053,0.47,255.4
organic,tropical,C,2.109,0.5,366.1
conventional,temperate,T,4.482,0.02,228.2
organic,boreal,H,0.611,0.3,215.6
conventional,temperate,Y,1.258,0,239.4
conventional,tropical,J,3.787,0.01,339.1
conventional,tropical,Y,2.593,0.02,320.7
conventional,temperate,K,2.57,0,270
organic,temperate,D,0.151,0.5,317.1
conventional,tropical,Q,3.847,0.03,319.4
conventional,temperate,L,1.703,0.06,300.5
organic,tropical,I,2.438,0.52,343.3
organic,temperate,L,1.115,0.51,285.4
organic,boreal,Q,0.8,0.46,237.2
conventional,tropical,V,2.699,0.02,329.3
organic,boreal,S,0.421,0.42,265.8
organic,boreal,I,0.428,0.37,288.2
conventional,boreal,X,1.201,0.06,241.4
organic,temperate,Y,0.801,0.56,276.8
organic,temperate,O,1.121,0.48,259.4
conventional,tropical,T,2.533,0.01,313
conventional,boreal,Z,4.305,0.06,168.6
conventional,boreal,V,2.269,0.01,239.8
conventional,tropical,Q,4.379,0.01,301.9
organic,temperate,V,1.82,0.45,249.9
conventional,boreal,G,1.63,0.05,245.3
organic,temperate,L,0.356,0.48,315.3
conventional,temperate,L,2.275,0.01,300.6
organic,boreal,D,0.543,0.24,255.6
organic,boreal,M,1.347,0.4,247.8
conventional,temperate,I,3.457,0.02,272.3
conventional,temperate,J,3.142,0.02,275.8
conventional,temperate,L,4.046,0.03,238.6
organic,tropical,C,2.081,0.59,334.6
organic,boreal,J,0.406,0.36,259.8
conventional,temperate,B,2.18,0.04,248.2
conventional,tropical,E,3.36,0.01,384.1
organic,boreal,I,1.016,0.44,274.9
conventional,temperate,F,3.011,0.02,269.8
organic,boreal,N,0.726,0.43,224.8
organic,tropical,N,1.778,0.57,370.4
organic,boreal,Q,1.048,0.38,245.7
organic,boreal,T,0.572,0.58,264.3
conventional,temperate,V,1.166,0.03,332.2
organic,boreal,M,0.596,0.44,262.6
organic,tropical,L,1.574,0.58,357.9
organic,boreal,D,0.363,0.4,235.1
conventional,tropical,M,1.913,0.08,359.3
organic,temperate,J,0.104,0.5,300.9
conventional,boreal,P,0.888,0.02,276.8
organic,tropical,E,1.454,0.45,334.7
conventional,boreal,T,0.017,0.02,236.2
organic,boreal,M,0.879,0.56,248.1
conventional,temperate,S,1.809,0.02,277
organic,temperate,C,0.68,0.42,316
organic,tropical,V,2.015,0.46,330.4
organic,temperate,O,0.771,0.59,265.5
conventional,boreal,D,0.193,0.06,281.8
conventional,boreal,E,3.034,0.08,222.6
conventional,tropical,P,1.829,0.04,358.5
conventional,tropical,F,4.558,0.01,318.1
organic,tropical,M,1.154,0.36,361.7
organic,boreal,Z,0.551,0.55,243.6
conventional,temperate,A,4.212,0,238.4
conventional,tropical,D,4.497,0.04,331
organic,tropical,F,1.524,0.55,348.6
conventional,tropical,O,3.127,0,363.3
organic,tropical,T,1.624,0.38,369.5
organic,tropical,W,1.882,0.49,363.2
organic,boreal,F,0.973,0.42,221.3
conventional,temperate,R,3.659,0.02,219.5
conventional,temperate,B,3.054,0.03,249.6
organic,boreal,R,0.532,0.51,253.3
organic,tropical,J,1.761,0.38,341.2
conventional,tropical,V,4.114,0.01,305.4
conventional,temperate,A,4.052,0.03,199.2
organic,tropical,H,2.743,0.36,337.7
conventional,boreal,W,0.253,0.1,240.3
organic,boreal,P,0.371,0.34,231.4
conventional,temperate,Y,1.152,0,287.4
organic,boreal,Y,0.051,0.5,250.2
conventional,tropical,U,3.545,0,294.4
conventional,tropical,D,5.207,0.03,275
conventional,boreal,Z,0.422,0.03,258.2
organic,temperate,F,1.135,0.53,246.1
conventional,temperate,C,4.365,0.05,204
conventional,tropical,J,2.155,0.04,356
conventional,tropical,R,4.093,0.03,347.5
conventional,boreal,O,4.728,0.03,167.9
conventional,boreal,C,3.492,0,195
organic,tropical,O,1.51,0.32,355.1
conventional,tropical,V,5.376,0.03,298.6
conventional,boreal,R,2.867,0,234.4
organic,tropical,B,2.169,0.48,341.6
organic,temperate,L,0.716,0.47,308.7
organic,tropical,U,1.629,0.45,343.5
conventional,tropical,T,3.252,0.13,321.5
conventional,temperate,P,0.834,0.08,299.8
conventional,boreal,R,1.491,0.01,224.9
conventional,tropical,K,2.501,0.01,317
conventional,boreal,J,1.085,0.03,221.2
conventional,boreal,M,2.608,0.06,190.2
conventional,temperate,S,1.668,0.02,300.8
organic,boreal,Q,0.824,0.4,253.3
conventional,temperate,R,3.969,0.07,210.7
conventional,boreal,V,1.936,0.15,183.5
organic,temperate,D,0.848,0.48,332.8
organic,boreal,L,1.244,0.54,295.2
organic,temperate,D,0.487,0.55,303.6
organic,temperate,W,0.779,0.6,246.7
organic,tropical,V,0.893,0.47,330.3
organic,boreal,X,0.471,0.46,245.1
conventional,temperate,Q,2.085,0.01,260.2
organic,temperate,X,1.68,0.53,260.5
organic,temperate,Q,2.101,0.37,270.1
organic,tropical,Z,1.729,0.53,379.2
conventional,tropical,N,1.89,0.03,373.6
conventional,tropical,D,3.701,0.03,312.2
conventional,boreal,C,0.382,0,237.1
conventional,tropical,V,2.149,0,358.7
organic,tropical,L,1.489,0.43,367.1
organic,boreal,B,0.366,0.42,259.2
organic,boreal,E,1.155,0.49,223.8
organic,boreal,H,0.154,0.43,250.4
conventional,tropical,N,4.433,0.03,321.5
conventional,tropical,O,5.461,0.02,311.8
organic,temperate,A,0.152,0.58,325.2
conventional,temperate,E,2.638,0.09,265.5
conventional,tropical,O,3.761,0,319.7
conventional,temperate,Z,3.53,0.09,231.9
organic,temperate,I,0.455,0.36,283.7
conventional,boreal,X,3.06,0.02,233.5
organic,boreal,R,1.407,0.28,247.1
organic,boreal,P,0.167,0.41,282.2
organic,tropical,C,1.282,0.39,362.4
conventional,boreal,U,0.647,0,268.8
conventional,boreal,H,1.327,0,231.1
conventional,tropical,Y,1.19,0.06,358.2
organic,boreal,P,0.625,0.51,216
organic,boreal,V,0.159,0.42,277.7
conventional,tropical,O,0.283,0,372
conventional,boreal,Q,4.06,0,202.5
organic,boreal,Y,0.786,0.49,240.9
conventional,boreal,B,4.208,0.01,201.6
organic,boreal,T,0.195,0.48,249.2
organic,temperate,Q,0.636,0.34,332.8
conventional,temperate,D,3.348,0.01,268.5
conventional,boreal,X,2.984,0.02,209.6
conventional,boreal,B,1.723,0.02,287.2
conventional,tropical,E,3.456,0.01,282.2
organic,boreal,Q,0.318,0.54,277.6
conventional,tropical,V,4.241,0.01,319.1
conventional,tropical,B,2.131,0.12,371
organic,boreal,Y,1.986,0.42,204.8
conventional,boreal,C,1.119,0.06,248.2
conventional,boreal,O,5.434,0.03,191.5
conventional,boreal,J,1.302,0.02,213.4
conventional,tropical,O,2.999,0.03,330.5
conventional,tropical,P,2.739,0.01,323.2
organic,tropical,L,1.926,0.28,365.7
organic,temperate,E,1.031,0.38,304.3
organic,tropical,G,1.751,0.63,333
organic,boreal,O,0.741,0.33,237.4
conventional,boreal,V,1.859,0.01,201.8
organic,tropical,F,1.547,0.39,321.3
organic,boreal,M,0.099,0.47,274.1
conventional,temperate,B,1.693,0.02,234.4
organic,tropical,W,2.005,0.5,354.9
organic,boreal,R,1.578,0.48,262.1
organic,temperate,W,0.875,0.45,252.8
organic,temperate,P,0.128,0.34,317
conventional,boreal,P,5.821,0.09,179.6
organic,boreal,J,0.783,0.61,248.6
conventional,temperate,J,3.497,0.04,257.9
organic,temperate,K,0.964,0.48,252.4
organic,boreal,E,0.875,0.3,249.4
organic,temperate,G,1.226,0.49,254
conventional,temperate,Q,2.195,0.03,292.6
conventional,temperate,K,2.448,0,290.3
conventional,temperate,M,1.662,0,253.4
conventional,boreal,T,2.914,0.04,196.9
organic,boreal,V,0.494,0.34,239.3
organic,temperate,U,1.359,0.56,277
conventional,boreal,C,3.181,0.01,154.4
conventional,boreal,Y,2.816,0,250.3
organic,tropical,Z,2.49,0.15,364.3
conventional,tropical,X,1.778,0.02,393.3
conventional,temperate,N,3.374,0.04,230.8
conventional,temperate,P,1.875,0.01,262.8
organic,tropical,C,1.363,0.37,375.5
organic,boreal,M,0.821,0.3,255.2
conventional,temperate,J,1.427,0,254.8
organic,boreal,V,0.215,0.56,260.6
conventional,tropical,V,3.143,0.03,335
conventional,tropical,Y,2.256,0.03,361.3
conventional,tropical,B,4.066,0.01,301.2
conventional,tropical,C,1.137,0.04,395.7
conventional,tropical,O,4.262,0.04,320.1
conventional,tropical,Z,2.09,0.02,333.3
organic,boreal,S,0.571,0.28,282.8
organic,boreal,Z,0.046,0.56,239.8
conventional,temperate,Z,2.425,0.01,255.5
organic,tropical,G,1.23,0.37,369.6
conventional,boreal,W,1.933,0.02,235.4
conventional,tropical,N,3.687,0.08,317.6
organic,tropical,M,1.818,0.41,351.2
conventional,tropical,D,0.809,0.01,376.7
organic,tropical,N,1.831,0.46,336.2
conventional,boreal,L,1.428,0.01,221.8
organic,tropical,R,1.595,0.5,390.3
organic,temperate,R,1.035,0.51,242.1
organic,boreal,E,1.95,0.45,234.9
conventional,boreal,H,2.652,0.06,193.6
organic,temperate,O,1.07,0.4,310.6
organic,temperate,N,1.311,0.41,244
organic,boreal,N,0.726,0.53,276.4
conventional,boreal,H,2.673,0.01,241.6
conventional,boreal,E,2.323,0.01,218.1
organic,temperate,L,0.873,0.38,307.8
conventional,temperate,O,2.76,0,260.9
conventional,boreal,A,0.865,0.02,271.1
conventional,tropical,V,2.354,0.02,371.8
conventional,temperate,X,1.231,0.11,286
organic,boreal,U,0.535,0.52,214.6
conventional,temperate,U,3.156,0,213.3
organic,tropical,L,2.126,0.38,362.9
organic,tropical,T,2.101,0.51,380.2
organic,boreal,G,0.495,0.35,243.5
organic,boreal,I,0.004,0.44,282.1
organic,boreal,D,1.116,0.49,231.5
organic,temperate,T,0.812,0.49,301.6
organic,temperate,J,0.463,0.4,278.6
organic,tropical,D,1.405,0.43,348
conventional,tropical,S,3.804,0.01,303
organic,temperate,T,0.731,0.44,302.6
organic,temperate,U,0.748,0.54,300.7
organic,tropical,E,1.712,0.44,363.6
conventional,boreal,Z,1.3,0.07,266.6
conventional,tropical,A,2.525,0,359.5
conventional,boreal,K,1.563,0.07,241.8
conventional,temperate,H,1.305,0.06,294.1
conventional,tropical,U,3.77,0,324.6
organic,temperate,W,0.774,0.37,308.3
conventional,tropical,J,2.76,0.01,310.5
organic,tropical,U,1.907,0.4,394.4
conventional,tropical,V,3.744,0.07,308.6
organic,boreal,Z,0.51,0.57,238.7
organic,boreal,N,0.089,0.39,265.4
conventional,boreal,O,2.073,0.04,253.7
conventional,tropical,J,3.688,0.12,336.4
organic,boreal,U,0.479,0.38,273.5
organic,temperate,H,1.683,0.54,241.9
conventional,tropical,R,4.78,0.02,296.2
conventional,tropical,T,3.354,0.02,334.6
conventional,temperate,N,1.564,0.01,274.9
conventional,temperate,G,0.341,0.01,315.7
organic,boreal,F,0.25,0.56,189.5
organic,boreal,B,1.204,0.3,248.9
organic,boreal,M,0.46,0.44,251.6
organic,tropical,W,1.197,0.55,396.7
conventional,tropical,T,3.618,0.04,332.7
organic,boreal,S,1.502,0.48,230.4
conventional,tropical,T,1.604,0.03,349.6
organic,tropical,Q,1.511,0.55,363.4
conventional,tropical,O,3.937,0.01,336.1
organic,tropical,G,1.548,0.45,345.6
organic,boreal,H,1.454,0.44,207.9
organic,boreal,O,1.197,0.42,222.5
conventional,tropical,Q,4.935,0,321.4
conventional,tropical,K,3.897,0.03,318.5
organic,temperate,P,0.408,0.46,269.8
organic,tropical,A,1.904,0.4,357
conventional,temperate,V,3.077,0.01,243.3
organic,tropical,J,1.779,0.56,364.5
conventional,tropical,U,6.209,0.16,295
conventional,boreal,O,3.209,0.01,216
conventional,boreal,A,4.264,0,143.4
conventional,temperate,B,3.718,0,219.6
organic,tropical,V,1.87,0.37,355.9
conventional,boreal,V,3.381,0.02,216.6
organic,temperate,Y,0.779,0.49,291.7
organic,temperate,L,1.126,0.52,292.1
conventional,boreal,X,4.13,0.01,167.9
conventional,tropical,S,3.322,0,321.1
conventional,temperate,A,2.68,0.03,251.5
conventional,temperate,L,1.068,0.02,320.8
conventional,temperate,H,1.683,0.07,238.1
organic,tropical,B,1.481,0.42,375.9
organic,tropical,P,1.535,0.37,385.6
organic,boreal,I,0.742,0.36,253
organic,temperate,F,2.075,0.47,261.2
conventional,boreal,Y,2.579,0.01,181.2
organic,temperate,Y,1.254,0.26,313.9
conventional,tropical,M,2.662,0.03,364.8
organic,boreal,M,0.846,0.62,224.8
organic,tropical,V,1.943,0.38,370.2
organic,tropical,E,1.31,0.53,358.2
organic,boreal,S,0.831,0.49,217
organic,boreal,O,1.077,0.51,238.5
organic,boreal,A,0.601,0.66,231
organic,temperate,Z,2.031,0.51,234.9
conventional,temperate,U,2.889,0.07,251.5
organic,tropical,O,1.579,0.38,346.9
conventional,tropical,F,2.957,0.02,334.3
organic,boreal,P,1.151,0.5,289.4
organic,temperate,Y,1.755,0.35,294.9
organic,boreal,X,0.781,0.42,234.6
organic,boreal,B,0.574,0.48,252.6
conventional,tropical,K,2.482,0.01,342.6
organic,tropical,P,1.121,0.34,325.4
organic,temperate,O,1.672,0.38,256.6
organic,boreal,S,1.133,0.47,249.2
conventional,tropical,S,4.425,0.02,284.9
conventional,temperate,W,3.149,0.01,244.2
organic,boreal,I,0.311,0.24,236.8
conventional,temperate,J,0.957,0.02,282.2
organic,tropical,D,1.707,0.45,350.9
conventional,tropical,H,4.644,0.07,318.4
conventional,tropical,R,4.314,0.03,334.2
conventional,temperate,U,0.776,0.09,255.4
conventional,tropical,K,0.304,0,335.8
conventional,tropical,Z,3.507,0.04,348.3
conventional,tropical,D,2.323,0,361.6
conventional,temperate,O,2.179,0,234.3
organic,tropical,Q,1.447,0.38,376.2
conventional,temperate,H,1.709,0.06,259.2
organic,tropical,T,1.524,0.38,362.2
conventional,boreal,D,0.548,0.03,260.1
organic,boreal,K,0.148,0.43,257.1
organic,boreal,F,0.849,0.46,255.1
organic,tropical,O,1.25,0.39,372.6
organic,tropical,V,1.792,0.33,363
organic,temperate,D,0.691,0.48,324.1
organic,boreal,V,0.478,0.28,236.8
organic,boreal,P,0.541,0.29,252.7
conventional,temperate,Z,2.708,0.02,266.4
organic,tropical,P,1.448,0.7,375.7
organic,tropical,D,2.582,0.5,353.1
organic,temperate,D,1.082,0.47,284.2
organic,temperate,M,0.738,0.34,284.4
conventional,tropical,Y,0.554,0.05,410
conventional,tropical,Y,0.021,0.03,386.8
conventional,temperate,A,1.473,0,245.4
conventional,temperate,M,2.196,0.01,261.4
organic,temperate,Q,1.066,0.42,297.9
conventional,boreal,I,4.055,0.08,206.5
organic,boreal,E,0.075,0.46,247.3
organic,temperate,W,0.529,0.62,300.9
conventional,temperate,P,2.693,0,297.3
organic,tropical,P,1.96,0.51,326.2
organic,temperate,I,1.402,0.49,265.4
organic,tropical,M,1.877,0.33,336.8
organic,temperate,Y,1.85,0.51,310.4
conventional,boreal,H,1.287,0.04,214.7
organic,boreal,L,0.8,0.55,274.5
conventional,temperate,E,3.413,0,244.3
organic,boreal,I,0.229,0.57,264.4
organic,tropical,P,1.368,0.41,369.6
organic,tropical,K,2.352,0.55,347.3
organic,tropical,W,1.499,0.42,403.4
organic,boreal,K,0.921,0.39,234.3
conventional,tropical,I,2.892,0.02,368.2
conventional,tropical,P,3.008,0.06,339.7
conventional,temperate,N,3.178,0,248.9
organic,boreal,C,0.744,0.42,243.7
organic,boreal,A,0.998,0.39,235.8
organic,temperate,J,0.497,0.58,231.3
organic,boreal,Z,0.652,0.34,255.4
conventional,boreal,B,2.195,0.02,186.3
conventional,temperate,F,4.558,0.01,230.8
conventional,boreal,J,0.509,0.01,251.9
organic,boreal,N,1.183,0.51,268.5
organic,temperate,A,0.4,0.45,300.4
organic,tropical,P,1.441,0.66,328.2
organic,temperate,Y,0.51,0.43,252.2
organic,tropical,D,1.799,0.32,354.6
conventional,boreal,Y,2.841,0.01,199.7
conventional,temperate,T,2.322,0.02,273
organic,temperate,X,0.371,0.36,321.1
organic,tropical,C,1.384,0.53,323.9
conventional,temperate,X,2.217,0.03,244
conventional,boreal,B,0.492,0.02,238
organic,boreal,P,0.659,0.33,261.3
conventional,temperate,S,0.95,0.01,297.6
organic,temperate,C,0.315,0.48,320.7
organic,temperate,H,0.857,0.45,263.8
organic,tropical,D,1.69,0.29,394.2
conventional,temperate,W,2.322,0.03,242.8
organic,tropical,M,1.031,0.32,383.9
conventional,boreal,U,2.107,0,224.6
organic,temperate,B,1.225,0.41,234.1
conventional,temperate,C,3.467,0,221.6
conventional,boreal,T,2.646,0.06,200.3
conventional,temperate,B,4.481,0,241.6
conventional,temperate,G,3.916,0.05,251.8
conventional,tropical,T,3.106,0.07,313.7
conventional,boreal,K,0.692,0.01,235.8
conventional,boreal,Q,1.647,0,223.9
conventional,tropical,A,2.762,0.06,334.5
conventional,tropical,F,3.027,0.05,309.6
organic,tropical,E,2.556,0.31,351.4
organic,boreal,F,1.151,0.49,233.9
organic,tropical,D,2.416,0.36,339.7
conventional,temperate,S,2.779,0.06,254.8
conventional,tropical,J,3.878,0.18,302.3
organic,tropical,W,2.041,0.31,352.8
organic,boreal,I,1.263,0.41,285.3
organic,boreal,M,0.111,0.39,277.4
conventional,tropical,N,1.932,0.04,321.8
organic,tropical,R,2.106,0.38,334.9
organic,boreal,F,0.512,0.4,287.3
conventional,tropical,S,5.31,0.02,260
conventional,temperate,R,5.218,0.06,186.5
organic,boreal,L,0.156,0.42,245.6
organic,tropical,R,1.428,0.42,400.2
organic,tropical,T,3.03,0.53,293.4
organic,tropical,I,2.238,0.37,369.9
conventional,boreal,L,4.471,0.04,178.4
conventional,temperate,J,1.888,0,281.8
conventional,boreal,L,2.212,0.04,199.9
conventional,temperate,T,3.64,0.04,231.6
conventional,tropical,Y,5.634,0,252
organic,boreal,M,0.841,0.39,234.2
organic,tropical,J,1.351,0.34,400.3
organic,temperate,A,0.988,0.42,289.6
conventional,tropical,E,4.123,0.01,306.1
conventional,boreal,I,1.875,0.01,233.7
conventional,boreal,Z,3.283,0.01,242
organic,boreal,Q,0.182,0.41,256.3
organic,temperate,R,0.414,0.32,289.7
conventional,tropical,S,4.852,0,305.5
conventional,boreal,G,4.584,0.04,213.2
conventional,boreal,M,1.662,0.04,243.9
organic,boreal,V,0.964,0.48,235.8
conventional,tropical,K,5.386,0,337.4
conventional,tropical,U,2.336,0,337.1
conventional,boreal,V,4.095,0.07,160.2
conventional,temperate,E,5.032,0.08,226.4
organic,temperate,J,0.962,0.61,287.2
organic,temperate,Y,0.417,0.34,317.1
conventional,tropical,R,5.207,0.03,319.9
organic,boreal,G,0.841,0.51,236.9
conventional,temperate,R,2.723,0.01,262.9
conventional,tropical,T,3.29,0.03,354.3
organic,tropical,S,1.521,0.38,396.8
conventional,boreal,M,1.132,0.04,285.9
organic,temperate,A,0.859,0.65,247.7
conventional,boreal,C,1.898,0.03,254.6
organic,tropical,F,1.15,0.52,370.1
conventional,tropical,V,3.582,0.08,370.9
organic,boreal,U,0.654,0.36,261.5
organic,tropical,R,2.418,0.46,340.7
conventional,temperate,V,1.603,0.01,263.6
conventional,tropical,X,3.853,0.04,324.7
organic,tropical,W,1.469,0.53,371.8
organic,tropical,E,1.72,0.51,382.5
organic,temperate,O,0.995,0.49,314.6
organic,temperate,F,0.564,0.37,289.5
conventional,boreal,Z,0.166,0.02,217.7
conventional,boreal,R,2.739,0.03,242.3
conventional,temperate,J,3.118,0.01,246.1
organic,tropical,R,1.048,0.44,351.8
organic,boreal,I,1.694,0.53,221.3
conventional,tropical,W,2.331,0.02,348.6
conventional,temperate,P,3.564,0,244.5
conventional,temperate,Q,2.158,0.03,295.7
organic,tropical,X,0.99,0.31,401
conventional,tropical,T,4.039,0.03,344.9
organic,temperate,R,0.631,0.28,293.5
organic,tropical,X,2.783,0.41,363.6
conventional,temperate,I,2.179,0,211.9
conventional,boreal,L,2.234,0.04,242.4
organic,tropical,H,1.714,0.42,386.4
organic,tropical,M,2.109,0.59,374.5
organic,temperate,T,1.495,0.49,293
conventional,boreal,N,2.001,0.1,203.8
conventional,temperate,N,4.449,0.09,231.2
conventional,temperate,S,0.475,0.02,273.8
organic,boreal,F,0.647,0.57,232.2
conventional,boreal,K,2.873,0.04,220.1
conventional,tropical,K,5.482,0.04,272.7
conventional,tropical,A,4.295,0.04,306.9
conventional,boreal,I,4.119,0.1,191.7
organic,tropical,T,1.563,0.25,351.6
conventional,temperate,H,1.464,0,250.4
organic,temperate,T,0.962,0.35,306.1
conventional,temperate,I,1.226,0.01,254.6
organic,boreal,Z,0.658,0.45,274.5
conventional,boreal,T,1.977,0.08,261
conventional,boreal,R,2.112,0.03,235
conventional,tropical,G,2.287,0.01,327
organic,boreal,B,0.576,0.34,269.2
conventional,temperate,J,1.824,0.02,277.3
organic,tropical,I,2.431,0.47,358.9
conventional,tropical,R,4.508,0.01,296.9
conventional,boreal,X,3.198,0,253.6
organic,temperate,F,1.346,0.46,264.7
conventional,temperate,F,1.488,0.02,302.8
conventional,tropical,X,5.714,0,290.8
conventional,temperate,U,2.041,0.01,295.8
organic,tropical,K,1.202,0.37,395
organic,boreal,W,1.085,0.3,222.9
conventional,tropical,L,2.48,0.03,342.8
organic,boreal,F,0.125,0.5,252.3
conventional,boreal,B,3.059,0.02,251.7
organic,boreal,D,0.586,0.5,264.9
organic,temperate,I,0.613,0.34,278.1
organic,tropical,A,2.094,0.36,348.5
conventional,boreal,M,0.272,0,263.2
organic,boreal,U,0.322,0.38,266
conventional,tropical,A,3.627,0.02,374.4
conventional,temperate,W,0.579,0.01,271
conventional,tropical,B,3.205,0.08,314.9
organic,boreal,T,1.455,0.52,211.5
organic,boreal,D,1.4,0.47,259.1
organic,temperate,A,0.751,0.45,264.5
conventional,boreal,H,3.977,0,219.4
conventional,boreal,F,2.523,0.02,213.9
organic,temperate,A,1.441,0.39,277.4
conventional,boreal,W,1.455,0.01,271.5
organic,temperate,M,0.954,0.47,323.2
organic,temperate,L,1.419,0.54,295.8
conventional,boreal,N,3.497,0,202.1
conventional,tropical,P,0.894,0.02,354
organic,tropical,C,1.783,0.58,351
conventional,tropical,M,3.388,0.05,329.5
organic,boreal,M,0.964,0.33,282.8
organic,tropical,O,2.477,0.41,367.5
organic,temperate,D,1.73,0.46,298.1
conventional,tropical,T,2.012,0.05,375.7
conventional,tropical,A,3.798,0,357.2
conventional,boreal,H,2.49,0,186.6
conventional,tropical,T,4.947,0.04,327.2
organic,tropical,S,1.191,0.41,385.7
organic,boreal,D,0.564,0.47,247.8
conventional,boreal,G,2.082,0,262.1
organic,tropical,L,1.625,0.29,367.6
organic,tropical,G,1.406,0.42,349.2
